h,multlin1,multexp1,multrec1
0,1.306459,1.41231,7.069991
1,1.059852,1.051238,-1.00198
2,.8468548,.7965088,7.701185
3,.7057402,.6266458,2.620465
4,.6801281,.5828823,2.435434
5,.6764851,.5696681,2.17743
6,.6771979,.566121,1.855862
7,.6637146,.5536605,1.584987
8,.6689614,.5598634,1.333218
9,.6879548,.5857459,1.155262
10,.7064933,.6093263,1.079265
11,.7162561,.623311,1.020224
12,.719329,.6273372,.9841814
13,.7189201,.6263756,.9664252
14,.7172865,.6218782,.9543694
15,.7133608,.6133314,.940841
16,.7096115,.6036478,.9299291
17,.7098383,.5959642,.9257749
18,.7153019,.5931199,.9251707
19,.722976,.592627,.9291949
20,.72948,.5899455,.9323307
