h,multlin2,multexp2,multrec2
0,.1792939,.269575,.576909
1,.2225106,.2450592,1.502969
2,.2565963,.2470719,2.012662
3,.2537262,.2337651,2.045223
4,.2723028,.2444187,2.066623
5,.3208033,.2802399,2.073884
6,.3564926,.3124805,1.836989
7,.383712,.3392349,1.649878
8,.4134847,.3628253,1.587756
9,.4288016,.3784261,1.486591
10,.4417653,.3897848,1.430974
11,.4541928,.400587,1.386689
12,.4608603,.4045107,1.345654
13,.4663658,.4072874,1.302675
14,.4731051,.4086983,1.274791
15,.4733706,.4041474,1.233765
16,.4688624,.3955153,1.195111
17,.4627596,.3839632,1.169916
18,.4552619,.3722607,1.151939
19,.449409,.3618228,1.147423
20,.4425856,.351193,1.153566
